iter	Passed	Remaining
0	0	64
1	1	58
2	1	54
3	2	52
4	2	50
5	3	49
6	3	48
7	4	47
8	4	45
9	4	44
10	5	43
11	5	42
12	6	41
13	6	40
14	7	39
15	7	38
16	7	38
17	8	37
18	8	36
19	9	36
20	9	35
21	9	34
22	10	34
23	10	33
24	10	32
25	11	32
26	11	32
27	12	31
28	12	31
29	13	31
30	13	30
31	14	29
32	14	29
33	14	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	25
42	18	24
43	18	24
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	31	10
76	32	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	39	1
96	40	1
97	40	0
98	41	0
99	41	0
